League ID,League Name,League Abbreviation,League Location,Association Name,Association Location
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Athens Bobcats","Athens, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Bloomington Blades","Bloomington, IN"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Cincinnati Jr Cyclones","Cincinnati, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Columbus Flames","Columbus, IN"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Columbus Mavericks","Columbus, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Dayton Icehounds","Centerville, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Dayton Stealth","Kettering, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Findlay Jr Trojans","Findlay, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Indian Hill Winter Club","Camp Dennison, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Indy Jr Fuel","Carmel, IN"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Lexington Thoroughbreds","Lexington, KY"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Louisville Ice Cardinals","Louisville, KY"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Miami Jr Redhawks","Oxford, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Newark Generals","Newark, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Northern Kentucky Norse","Crescent Springs, KY"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Owensboro Rampage","Owensboro, KY"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","South Indy Sharks","Indianapolis, IN"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","Troy Bruins","Troy, OH"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","West Virginia Wild","South Charleston, WV"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","[2025-26]","https://myhockeyrankings.com/league-info?l=1&y=2025"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","[2024-25]","https://myhockeyrankings.com/league-info?l=1&y=2024"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","[2023-24]","https://myhockeyrankings.com/league-info?l=1&y=2023"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","[2022-23]","https://myhockeyrankings.com/league-info?l=1&y=2022"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","[2021-22]","https://myhockeyrankings.com/league-info?l=1&y=2021"
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","[2020-21]","https://myhockeyrankings.com/league-info?l=1&y=2020"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Affton Americans","Affton, MO"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Bloomington Thunder","Bloomington, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Champaign-Urbana Chiefs","Champaign, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Chesterfield Falcons","Pacific, MO"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Chicago Blues","Bensenville, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Chicago Bulldogs","Lincolnwood, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Chicago Hawks","Darien, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Chicago Jets","Chicago, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Chicago Mammoth","Evanston, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Chicago Stallions","Chicago, IL"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","Crystal Lake Yellowjackets","Crystal Lake, IL"
