name,email,phone,website_url,address,city,state,zip_code,country,description,years_in_business,linkedin_url,instagram_url,twitter_url,facebook_url,logo_url,is_published,is_featured
"1Vision Sports & Entertainment","contact@1visionsportsentertainment.com","","https://www.1vse.com","","New York","NY","","USA","","","","","https://twitter.com/1VisionSE","","","true","false"
"2112 Hockey Agency","dwolski@2112hockeyagency.com","+1 204-573-8080","https://2112hockeyagency.com/","647 King Edward St","Winnipeg","MB","R3H 0P2","CA","","","https://www.linkedin.com/in/darryl-wolski","https://www.instagram.com/2112hockey","https://twitter.com/2112hockey","https://www.facebook.com/2112hockeyagency","","true","false"
"369 Sports & Entertainment","contact@369sportsentertainment.com","","https://www.369ent.com","","Unknown","XX","77057","USA","","","","https://www.instagram.com/369.ent/","","","","true","false"
"3G Sports","spencer@3gsportsltd.com","","https://3gsportsltd.com","","Unknown","XX","L5N 6G8","Canada","","","","https://www.instagram.com/3gsportsltd","","","","true","false"
"3V Sports Management","info@3vsportsmanagement.com","","https://www.3vsportsmgt.com","","Unknown","XX","","US","","","","https://www.instagram.com/3vsportsmanagement","","","","true","false"
"4D Hockey Training","info@4dhockey.com","(248) 346-4506","http://4dhockey.com/","30475 Stephenson Hwy","Madison Heights","MI","48071","US","","","","https://instagram.com/4dhockey","https://twitter.com/4dhockey","https://facebook.com/4dhockey","","true","false"
"83, LLC","contact@83llc.com","","http://www.83llc.com","","Seattle","WA","","USA","","","https://www.linkedin.com/company/83-llc/","https://www.instagram.com/83llc_hockey/","https://x.com/83llc_hockey","https://www.facebook.com/83llchockey/","","true","false"
"85 Sports Management","info@85sportsmgmt.com","(614) 547-2390","https://www.85sportsmgmt.com/","33 S Grant Ave","Columbus","OH","43215","US","","","https://www.linkedin.com/company/85-sports-management","https://www.instagram.com/85sports","https://x.com/85sportsmgmt","","","true","false"
"93 Hockey Services","93hockeyservicesinc@gmail.com","","https://www.facebook.com/93HockeyServices","","Unknown","XX","","US","","","","https://www.instagram.com/93hkyservices/?hl=en","https://x.com/93hkyservices?fbclid=IwY2xjawNGKhFleHRuA2FlbQIxMABicmlkETFYcURJWXJjZUtEZ2F6b2VJAR4O-CAvFD2atumSpjWrpPS5hrmIj6FnORDI-ra8kVQLWvIEc0qPmlFMulO4Kg_aem_0Be8yn3pYQ6BrBa2kVLF1A","https://www.facebook.com/93HockeyServices","","true","false"
"98 Hockey Management","themonarchadvisorygrouup@gmail.com","807-407-8768","http://www.98hockeymanagement.com/","","Unknown","XX","","US","","","https://www.linkedin.com/in/kyle-chagnon-415a50213/?originalSubdomain=ca","https://www.instagram.com/monarchadvisorygroup/","","https://www.facebook.com/themonarchadvisorygroup/","","true","false"
"A1 Hockey Advancements","contact@a1hockeyadvancements.com","519-520-8279","https://www.a1hockeyadvancements.com","","London","ON","","Canada","","","","https://www.instagram.com/a1hockeyadvancements/","https://x.com/A1Advancements","","","true","false"
"A7A Hockey","contact@a7ahockeyadvisor.com","917-442-2931","https://a7ahockeyadvisor.com/","","New York","NY","","USA","","","","","","","","true","false"
"Advancement Hockey Advising","contact@advancementhockeyadvising.com","","https://ahadvising.com","","Unknown","XX","","Canada","","","https://www.linkedin.com/in/braedenpearl/","https://www.instagram.com/ahadvising/","https://x.com/ahadvising","https://www.facebook.com/ahadvising/","","true","false"
"Advocate Athlete","advocateathlete@gmail.com","(215) 667-7263","http://www.advocateathlete.com/","812 Fordham St","Delran","NJ","8075","US","","","","","","","","true","false"
"Alpha Hockey Inc","ray@alphahockey.c","+1 204-371-9146","http://www.alphahockey.ca/","300 52 HWY W","Steinbach","MB","R5G 2S9","CA","","","","","","","","true","false"
"AMG Sport","cb@americanmediagroups.com","(813) 492-7060","https://amgsport.com/","1419 E 4th Ave","Tampa","FL","33605","US","","","","","","","","true","false"
"Apogee Hockey Consulting","contact@apogeehockeyconsulting.com","","https://apogeehockey.com/","","Unknown","XX","","US","","","","","","","","true","false"
"Apollo Athletics","bayne@apollo-athletics.com","(909) 596-5777","https://www.apollo-athletics.com/","","Unknown","XX","","USA","","","","","","","","true","false"
"APX Advisors","contact@apxadvisors.com","(310) 644-5400","https://www.apx-hockey.com/advisors","","Unknown","XX","","USA","","","","","","","","true","false"
"Ascension Management Agency","contact@ascensionmanagementagency.com","","https://www.ascension-hockey.com/","","QC","QC","","Canada","","1994","","","","","","true","false"
"ATA Sports Management","marty@atasportsmanagement.com","416-708-0691","https://www.atasportsmanagement.com/","4000 Chesswood Dr.","North York","ON","M3J 2B9","Canada","","","","","","","","true","false"
"Atlas Management Group","contact@atlasmanagementgroup.com","(858) 483-8600","https://atlasmgtgroup.com/","2413 Elm Valley Dr.","Little Elm","TX","75068","USA","","","","","","","","true","false"
"Avenue Sports Management","info@avenuesportsmgmt.com","866-828-3683","https://avenuesportsmgmt.com/","","Unknown","XX","","Canada","","","","","","","","true","false"
"Bartlett Hockey","contact@bartletthockey.com","585-383-1967","https://bartletthockey.com/","65-C Monroe Ave.","Pittsford","NY","14534","USA","","","","","","","","true","false"
"Berkshire Agency","contact@berkshireagency.com","","http://www.berkshireagency.com","","Toronto","ON","","Canada","","","","https://www.instagram.com/berkshireagency","","","","true","false"
"Bishop Sports","dave@bishsports.ca","905-407-7945","https://www.bishopsports.ca/","","Burlington","ON","L7N 2R4","Canada","","","","https://www.instagram.com/bishopsportsclub/","","","","true","false"
"Black Aces Sports Management","chris@blackacessportsmanagement.com","807-707-7177","https://www.instagram.com/blackacessportsmanagement/","","Unknown","XX","","US","","","","https://www.instagram.com/blackacessportsmanagement/","","","","true","false"
"Blase Management Firm","paul@blasemanagement.com","612-242-7610","https://paul70631.wixsite.com/website","","Unknown","XX","","USA","","2019","","","","","","true","false"
"Bloom Hockey Advisory","rick@bloomhockeyadvisory.com","(613) 282-7516","https://bloomhockeyadvisory.com/","","Unknown","XX","","US","","","","https://www.instagram.com/bloomhockey/","","https://www.facebook.com/people/Bloom-Hockey-Advisory/61566826920760/","","true","false"
"Blue Dragon Hockey","bluedragonhockey@gmail.com","518-538-4389","https://www.bluedragonhockey.com/","","NY","NY","","USA","","","","","","","","true","false"
"Boston Management Group","contact@bostonmanagementgroup.com","(617) 634-0376","http://bmghockey.com/","986 Saratoga St","Boston","MA","2128","USA","","","","https://www.instagram.com/_thebmg","https://twitter.com/_theBMG","","","true","false"
"Bowman Hockey","contact@bowmanhockey.com","","https://www.bowmanhockeymn.com/","","Bloomington","MN","","USA","","","","https://www.instagram.com/bowmanhockey/","https://twitter.com/bowman_hockey","","","true","false"
"Breakout Hockey Advisory","contact@breakouthockeyadvisory.com","","https://www.breakouthockeyadvisory.com/","","Stillwater","MN","","USA","","","","","","","","true","false"
"Breton Management Group","contact@bretonmanagementgroup.com","+1 416-559-7678","http://www.bretonmanagement.com/contact.html","21 Callander Dr","Guelph","ON","N1E 4H3","CA","","","","https://www.instagram.com/bmghockey/","https://twitter.com/bmghockey","","","true","false"
"Buckley Sports Management","info@buckleysports.com","(401) 886-6006","http://buckleysports.com/","45 Country Ln","Warwick","RI","2886","US","","","","","https://twitter.com/BuckleySports","","","true","false"
"C20 Hockey","contact@c20hockey.com","","https://www.facebook.com/Creative-Artists-Agency-153306451349620/","","Los Angeles","CA","","USA","","","","https://www.instagram.com/elefalk/","https://twitter.com/caa_sports","https://www.facebook.com/Creative-Artists-Agency-153306451349620/","","true","false"
"CAL Sports Management","mcalvert@calsportsmgmt.com","","https://calsportsmanagement.com/","","Winnipeg","MB","","Canada","","","","https://www.instagram.com/calsportsmgmt/","https://twitter.com/calsportsmgmt","","","true","false"
"Capstone Hockey Services","capstonehockeyservicesinfo@gmail.com","612-978-0519","https://www.capstonehockeyservices.com/","","Unknown","XX","55356","USA","","","","","","","","true","false"
"Center Ice Advisory","contact@centericeadvisory.com","","https://centericeadvisory.com","","NJ","NJ","","USA","","","","","","","","true","false"
"Center Ice Player Management","contact@centericeplayermanagement.com","(716) 912-4465","centericepm.com","","Unknown","XX","","USA","","","","https://www.instagram.com/centericepm/?hl=en","","https://www.facebook.com/CenterIcePM","","true","false"
"Chinook Hockey Management","contact@chinookhockeymanagement.com","","https://www.facebook.com/groups/412768407001165/?ref=share_group_link","","Lacombe","AB","","Canada","","","","https://www.instagram.com/invites/contact/?i=x75ajneyuuz9&utm_content=n4rkjyd","https://twitter.com/MinorHero?t=Gg1DoU5jKUJ-W0mTD9LXKg&s=09","https://www.facebook.com/groups/412768407001165/?ref=share_group_link","","true","false"
"CKM Sports Management","contact@ckmsports.com","","https://ckmsports.com/","","Unknown","XX","","US","","","","","","","","true","false"
"Clarion Sports Management","contact@clarionsportsmanagement.com","","https://clarionsportsmgmt.com/","","Muskoka","ON","","Canada","","","","https://www.instagram.com/clarionsportsmanagement/","","","","true","false"
"College Hockey Family Advisor","dwolski@chfahockey.com","+1 204-573-8080","https://www.collegehockeyfamilyadvisor.com/","593 Marion St","Winnipeg","MB","R2J 0X8","CA","","","","","","","","true","false"
"Cook Stark Management","contact@cookstarkmanagement.com","","https://www.cookstarkmgmt.com/","","Denver","CO","","USA","","","","https://www.instagram.com/cookstarkmgmt/","https://x.com/cookstarkmgmt","","","true","false"
