ID,Name,Abbreviation,Location,URL
1,"Buckeye Travel Hockey League","BTHL","Ohio River Valley","https://myhockeyrankings.com/league-info?l=1"
3,"Central States Developmental Hockey League","CSDHL","Chicago, Midwest","https://myhockeyrankings.com/league-info?l=3"
4,"Northern International Hockey League","NIntHL","Northern Michigan","https://myhockeyrankings.com/league-info?l=4"
5,"Midwest Superior Girls Hockey","MSGH","Chicago","https://myhockeyrankings.com/league-info?l=5"
6,"Missouri Amateur Ice Hockey Association","MoAm","St. Louis","https://myhockeyrankings.com/league-info?l=6"
7,"Cleveland Suburban Hockey League","CSHL","Cleveland","https://myhockeyrankings.com/league-info?l=7"
8,"Little Caesars Amateur Hockey League","LCAHL","Michigan","https://myhockeyrankings.com/league-info?l=8"
9,"Pittsburgh Amateur Hockey League","PAHL","Pittsburgh","https://myhockeyrankings.com/league-info?l=9"
10,"Tier 1 Elite Hockey League","T1EHL","US Nationwide","https://myhockeyrankings.com/league-info?l=10"
11,"Midwest Hockey League","MwHL","IA, KS, NE","https://myhockeyrankings.com/league-info?l=11"
13,"Wisconsin Amateur Hockey Association","WAHA","Wisconsin","https://myhockeyrankings.com/league-info?l=13"
20,"North American T1ER Hockey League","NAT1HL","US Nationwide","https://myhockeyrankings.com/league-info?l=20"
107,"Atlantic Youth Hockey League","AYHL","Mid-Atlantic","https://myhockeyrankings.com/league-info?l=107"
108,"Long Island Amateur Hockey League","LIAHL","Long Island","https://myhockeyrankings.com/league-info?l=108"
109,"Eastern Hockey Federation","EHF","New England","https://myhockeyrankings.com/league-info?l=109"
116,"Southern Youth Travel Hockey League","SYTHL","South Central US","https://myhockeyrankings.com/league-info?l=116"
122,"Southern California Amateur Hockey Association","SCAHA","Southern California","https://myhockeyrankings.com/league-info?l=122"
123,"Northern California Youth Hockey Association","NORCAL","Northern California","https://myhockeyrankings.com/league-info?l=123"
125,"Western New York Amateur Hockey League","WNYAHL","Western NY","https://myhockeyrankings.com/league-info?l=125"
126,"Chesapeake Bay Hockey League","CBHL","Washington DC","https://myhockeyrankings.com/league-info?l=126"
127,"Delaware Valley Hockey League","DVHL","Philadelphia","https://myhockeyrankings.com/league-info?l=127"
128,"Connecticut Hockey Conference","CHC","Connecticut","https://myhockeyrankings.com/league-info?l=128"
129,"New Jersey Youth Hockey League","NJYHL","New Jersey","https://myhockeyrankings.com/league-info?l=129"
131,"Vermont State Amateur Hockey Association","VSAHA","Vermont","https://myhockeyrankings.com/league-info?l=131"
132,"New Hampshire Amateur Hockey Association","NHAHA","New Hampshire","https://myhockeyrankings.com/league-info?l=132"
134,"Alaska State Hockey Association","ASHA","Alaska","https://myhockeyrankings.com/league-info?l=134"
135,"Pacific Northwest Amateur Hockey Association","PNAHA","Pacific Northwest","https://myhockeyrankings.com/league-info?l=135"
136,"Maine Amateur Hockey Association","MEAHA","Maine","https://myhockeyrankings.com/league-info?l=136"
137,"Carolinas Hockey League","CHL","Carolinas","https://myhockeyrankings.com/league-info?l=137"
138,"Hudson Valley Hockey League","HVHL","Southern New York","https://myhockeyrankings.com/league-info?l=138"
141,"Valley Hockey League","VHL","NE Massachusetts","https://myhockeyrankings.com/league-info?l=141"
146,"Greater Springfield League","GSL","Western MA, CT","https://myhockeyrankings.com/league-info?l=146"
149,"South Shore Conference","SSC","Southeastern Massachusetts","https://myhockeyrankings.com/league-info?l=149"
151,"Treasure State League","TSL","Montana","https://myhockeyrankings.com/league-info?l=151"
152,"Wyoming Amateur Hockey League","WAHL","Wyoming","https://myhockeyrankings.com/league-info?l=152"
154,"Idaho Amateur Hockey Association","IAHA","Idaho","https://myhockeyrankings.com/league-info?l=154"
156,"Land of Enchantment Amateur Hockey Association","LOEAHA","New Mexico","https://myhockeyrankings.com/league-info?l=156"
157,"California Amateur Hockey Association","CAHA","California","https://myhockeyrankings.com/league-info?l=157"
159,"Statewide Florida Hockey League","SFHL","Florida","https://myhockeyrankings.com/league-info?l=159"
161,"North Dakota Amateur Hockey Association","NDAHA","North Dakota","https://myhockeyrankings.com/league-info?l=161"
162,"South Dakota Amateur Hockey Association","SDAHA","South Dakota","https://myhockeyrankings.com/league-info?l=162"
167,"Premier Hockey League","PHL","Massachusetts","https://myhockeyrankings.com/league-info?l=167"
173,"Texas Hockey League","THL","Texas","https://myhockeyrankings.com/league-info?l=173"
178,"Central New York","CNY","Central NY","https://myhockeyrankings.com/league-info?l=178"
181,"MN - District 1","MN01","Twin Cities Metro Area","https://myhockeyrankings.com/league-info?l=181"
182,"MN - District 2","MN02","Twin Cities NE Suburbs","https://myhockeyrankings.com/league-info?l=182"
183,"MN - District 3","MN03","Twin Cities NW Suburbs","https://myhockeyrankings.com/league-info?l=183"
184,"MN - District 4","MN04","Southwestern Minnesota","https://myhockeyrankings.com/league-info?l=184"
185,"MN - District 5","MN05","Near Western Central Minnesota","https://myhockeyrankings.com/league-info?l=185"
186,"MN - District 6","MN06","Twin Cities SW Suburbs","https://myhockeyrankings.com/league-info?l=186"
188,"MN - District 8","MN08","Twin Cities SE Suburbs","https://myhockeyrankings.com/league-info?l=188"
